scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,chelator,dose_mg_L,texture,texture_sites,moisture,pe,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol
94,5.0,Medium,100,80,120,EDTA,200,Loam,0.5,Mesic,8,0.00048263,0.0003702,76.70472204380167,0.00854,0.0012589,0.0006439,51.14782746842481,0.02964,0.0018354,0.001818,99.05197777051323,0.0002151
95,5.0,Medium,100,80,120,Citrate,50,Loam,0.5,Mesic,8,0.00048263,0.0003979,82.44410832314611,0.007949,0.0012589,0.001042,82.77067280959567,0.04151,0.0018354,0.001807,98.45265337256184,0.0001851
96,5.0,Medium,100,80,120,Citrate,200,Loam,0.5,Mesic,8,0.00048263,0.0002686,55.65339908418457,0.00683,0.0012589,0.0004989,39.62983557073636,0.02531,0.0018354,0.001714,93.38563800806364,0.0002235
97,5.0,Medium,100,80,120,DTPA,50,Loam,0.5,Mesic,8,0.00048263,0.0004323,89.57172160868573,0.008324,0.0012589,0.001123,89.20486138692509,0.04313,0.0018354,0.001823,99.32439795140023,0.00018
98,5.0,Medium,100,80,120,DTPA,200,Loam,0.5,Mesic,8,0.00048263,0.0004323,89.57172160868573,0.00937,0.0012589,0.0007471,59.345460322503776,0.03231,0.0018354,0.001822,99.26991391522284,0.0002025
99,5.0,Medium,100,80,120,None,0,Loam,0.5,Wet,3,0.00048263,0.0004402,91.20858628763236,0.01133,0.0012589,0.0003968,31.51958058622607,0.02038,0.0018354,0.001826,99.48785005993244,0.000241
100,5.0,Medium,100,80,120,EDTA,50,Loam,0.5,Wet,3,0.00048263,0.0004103,85.01336427491039,0.01087,0.0012589,0.0003464,27.516085471443326,0.0183,0.0018354,0.001823,99.32439795140023,0.0002476
101,5.0,Medium,100,80,120,EDTA,200,Loam,0.5,Wet,3,0.00048263,0.0003038,62.94677081822514,0.008792,0.0012589,0.0002132,16.935419810946065,0.01231,0.0018354,0.001811,98.67058951727144,0.0002688
102,5.0,Medium,100,80,120,Citrate,50,Loam,0.5,Wet,3,0.00048263,0.0003687,76.39392495286245,0.009931,0.0012589,0.0003406,27.055365795535778,0.01831,0.0018354,0.00179,97.52642475754604,0.0002473
103,5.0,Medium,100,80,120,Citrate,200,Loam,0.5,Wet,3,0.00048263,0.0001974,40.900897167602515,0.006056,0.0012589,0.0001945,15.449996028278656,0.01191,0.0018354,0.001621,88.31862264356543,0.000255
104,5.0,Medium,100,80,120,DTPA,50,Loam,0.5,Wet,3,0.00048263,0.0004393,91.0221080330688,0.01149,0.0012589,0.0003517,27.937087933910554,0.01835,0.0018354,0.001825,99.43336602375504,0.0002447
105,5.0,Medium,100,80,120,DTPA,200,Loam,0.5,Wet,3,0.00048263,0.0004358,90.29691482087728,0.01195,0.0012589,0.0002243,17.817141949320835,0.01227,0.0018354,0.001819,99.10646180669063,0.0002557
106,5.0,Medium,100,80,120,None,0,Clay,1.5,Dry,12,0.00048263,0.0004323,89.57172160868573,0.02408,0.0012589,0.001248,99.13416474700134,0.1388,0.0018354,0.001823,99.32439795140023,0.0005209
107,5.0,Medium,100,80,120,EDTA,50,Clay,1.5,Dry,12,0.00048263,0.0004215,87.33398255392329,0.02467,0.0012589,0.001092,86.74239415362618,0.1275,0.0018354,0.001822,99.26991391522284,0.000547
108,5.0,Medium,100,80,120,EDTA,200,Clay,1.5,Dry,12,0.00048263,0.0003702,76.70472204380167,0.0256,0.0012589,0.000644,51.155770911112874,0.08884,0.0018354,0.001818,99.05197777051323,0.0006447
109,5.0,Medium,100,80,120,Citrate,50,Clay,1.5,Dry,12,0.00048263,0.0003979,82.44410832314611,0.02383,0.0012589,0.001042,82.77067280959567,0.1244,0.0018354,0.001807,98.45265337256184,0.0005549
110,5.0,Medium,100,80,120,Citrate,200,Clay,1.5,Dry,12,0.00048263,0.0002686,55.65339908418457,0.02047,0.0012589,0.000499,39.637779013424414,0.07589,0.0018354,0.001714,93.38563800806364,0.0006701
111,5.0,Medium,100,80,120,DTPA,50,Clay,1.5,Dry,12,0.00048263,0.0004323,89.57172160868573,0.02495,0.0012589,0.001123,89.20486138692509,0.1293,0.0018354,0.001823,99.32439795140023,0.0005396
112,5.0,Medium,100,80,120,DTPA,200,Clay,1.5,Dry,12,0.00048263,0.0004323,89.57172160868573,0.02809,0.0012589,0.0007471,59.345460322503776,0.09686,0.0018354,0.001822,99.26991391522284,0.0006071
113,5.0,Medium,100,80,120,None,0,Clay,1.5,Mesic,8,0.00048263,0.0004323,89.57172160868573,0.02408,0.0012589,0.001248,99.13416474700134,0.1388,0.0018354,0.001823,99.32439795140023,0.0005209
114,5.0,Medium,100,80,120,EDTA,50,Clay,1.5,Mesic,8,0.00048263,0.0004215,87.33398255392329,0.02467,0.0012589,0.001091,86.66295972674556,0.1275,0.0018354,0.001822,99.26991391522284,0.000547
