scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,cd_mg_L,doc_mg_L,ca_mg_L,mg_mg_L,na_mg_L,cl_mg_L,chelator,dose_mg_L,texture,hfo_sites,moisture,pe,ca_mg_level,ionic_level,pb_percent_free,cu_percent_free,zn_percent_free,cd_percent_free,pb_sorbed_mol,cu_sorbed_mol,zn_sorbed_mol,cd_sorbed_mol
baseline_00091,5.5,Medium,100,80,120,8,40,20,10,100,150,None,0,Clay,1.5,Dry,12,Low,Low,75.87663726844106,94.92180270404018,98.50584932963719,79.51673385331853,0.05341,0.3479,0.001353,5.209e-06
baseline_00092,5.5,Medium,100,80,120,8,40,100,50,100,150,None,0,Clay,1.5,Dry,12,High,Low,77.16127722219403,95.31896505845037,98.61481597712573,80.86566589960208,0.05278,0.3394,0.001316,5.146e-06
baseline_00093,5.5,Medium,100,80,120,8,40,20,10,500,700,None,0,Clay,1.5,Dry,12,Low,Medium,62.59511774657577,94.52464034962998,96.81686629356486,48.23837203011884,0.04284,0.3367,0.001292,3.072e-06
baseline_00094,5.5,Medium,100,80,120,8,40,100,50,500,700,None,0,Clay,1.5,Dry,12,High,Medium,63.672557707787924,94.7629377622761,96.98031626479766,49.48894444802754,0.04275,0.3312,0.00127,3.091e-06
baseline_00095,5.5,Medium,100,80,120,8,40,20,10,2000,3000,None,0,Clay,1.5,Dry,12,Low,High,36.96447866927877,92.53882857757891,91.74991718534791,19.559514671111398,0.02408,0.3135,0.001165,1.185e-06
baseline_00096,5.5,Medium,100,80,120,8,40,100,50,2000,3000,None,0,Clay,1.5,Dry,12,High,High,37.3374386558522,92.61826104846095,91.9133671565807,19.826490805271682,0.02412,0.3114,0.001158,1.191e-06
baseline_00097,5.5,Medium,100,80,120,8,40,20,10,100,150,None,0,Clay,1.5,Mesic,8,Low,Low,75.87663726844106,94.92180270404018,98.50584932963719,79.51673385331853,0.05341,0.3479,0.001353,5.209e-06
baseline_00098,5.5,Medium,100,80,120,8,40,100,50,100,150,None,0,Clay,1.5,Mesic,8,High,Low,77.16127722219403,95.31896505845037,98.61481597712573,80.86566589960208,0.05278,0.3394,0.001316,5.146e-06
baseline_00099,5.5,Medium,100,80,120,8,40,20,10,500,700,None,0,Clay,1.5,Mesic,8,Low,Medium,62.59511774657577,94.52464034962998,96.81686629356486,48.23837203011884,0.04284,0.3367,0.001292,3.072e-06
baseline_00100,5.5,Medium,100,80,120,8,40,100,50,500,700,None,0,Clay,1.5,Mesic,8,High,Medium,63.672557707787924,94.7629377622761,96.98031626479766,49.48894444802754,0.04275,0.3312,0.00127,3.091e-06
baseline_00101,5.5,Medium,100,80,120,8,40,20,10,2000,3000,None,0,Clay,1.5,Mesic,8,Low,High,36.96447866927877,92.22109869405074,91.74991718534791,19.559514671111398,0.02412,0.3132,0.001168,1.187e-06
baseline_00102,5.5,Medium,100,80,120,8,40,100,50,2000,3000,None,0,Clay,1.5,Mesic,8,High,High,37.35815865510629,92.37996363581482,91.9133671565807,19.826490805271682,0.02416,0.3111,0.00116,1.193e-06
baseline_00103,5.5,Medium,100,80,120,8,40,20,10,100,150,None,0,Clay,1.5,Wet,3,Low,Low,76.70543723860426,30.32731738276363,98.61481597712573,83.25439973156251,0.1009,0.2076,0.00253,1.019e-05
baseline_00104,5.5,Medium,100,80,120,8,40,100,50,100,150,None,0,Clay,1.5,Wet,3,High,Low,78.03151719086539,32.55142656746081,98.72378262461426,84.36445839465001,0.09564,0.2076,0.00236,9.62e-06
baseline_00105,5.5,Medium,100,80,120,8,40,20,10,500,700,None,0,Clay,1.5,Wet,3,Low,Medium,63.85903770107465,4.089977925716342,97.03479958854194,50.66925998852564,0.1364,0.04546,0.004041,1.007e-05
baseline_00106,5.5,Medium,100,80,120,8,40,100,50,500,700,None,0,Clay,1.5,Wet,3,High,Medium,64.99863766004904,4.38943834094164,97.19824955977474,52.00414065932707,0.1325,0.04655,0.003863,9.859e-06
baseline_00107,5.5,Medium,100,80,120,8,40,20,10,2000,3000,None,0,Clay,1.5,Wet,3,Low,High,37.523918649138935,0.34910570952657455,91.9133671565807,19.995107311057122,0.08599,0.004164,0.004109,4.264e-06
baseline_00108,5.5,Medium,100,80,120,8,40,100,50,2000,3000,None,0,Clay,1.5,Wet,3,High,High,37.917598634966446,0.35816101120712734,92.07681712781353,20.262083445217407,0.08525,0.004192,0.004039,4.24e-06
baseline_00109,5.5,High,300,250,400,25,10,20,10,100,150,None,0,Sand,0.1,Dry,12,Low,Low,88.61256074415212,97.27621513930046,99.39394375260599,82.46469620707363,0.004795,0.02853,0.0001165,4.324e-07
baseline_00110,5.5,High,300,250,400,25,10,100,50,100,150,None,0,Sand,0.1,Dry,12,High,Low,89.09602756037118,97.40330713713074,99.44297875199062,83.13916209753496,0.004764,0.02824,0.0001153,4.311e-07
baseline_00111,5.5,High,300,250,400,25,10,20,10,500,700,None,0,Sand,0.1,Dry,12,Low,Medium,71.41495542435953,96.48824475275268,97.77578877291386,51.25940767506212,0.003899,0.02856,0.0001157,2.712e-07
baseline_00112,5.5,High,300,250,400,25,10,100,50,500,700,None,0,Sand,0.1,Dry,12,High,Medium,72.1056223046725,96.5899183510169,97.87385877168308,52.113731136313156,0.003899,0.02833,0.0001147,2.732e-07
baseline_00113,5.5,High,300,250,400,25,10,20,10,2000,3000,None,0,Sand,0.1,Dry,12,Low,High,39.85838566286063,93.84473119788275,92.64345883732459,20.319409059965412,0.002212,0.02823,0.0001114,1.093e-07
baseline_00114,5.5,High,300,250,400,25,10,100,50,2000,3000,None,0,Sand,0.1,Dry,12,High,High,40.17609242780459,93.92098639658091,92.77421883568354,20.5307417056433,0.002219,0.02812,0.000111,1.099e-07
